N,P,K,temperature,humidity,ph,rainfall,label
103.31142768674157,59.0782379921921,32.15896179366897,31.307574641020064,84.6097443754611,5.921954347683607,264.4803203876848,Rice
105.11623152768604,56.87017076043365,31.80853347861988,26.34145576796885,84.22378374404957,6.080654090522011,177.16799388355506,Rice
88.50054778324645,56.25141647172685,26.62389626555192,28.285618331488184,83.48662654079799,5.529232099554903,261.64121922303883,Rice
98.49482466342307,60.45018803125283,25.25083937928848,26.139043188687044,85.18487098284977,5.6163354741925655,234.3924504586418,Rice
95.99574206720796,58.05537500137815,27.99431129256868,32.130695461272346,84.97750462543678,5.647429690348034,245.5636228025797,Rice
91.86104233352653,61.39242396669837,23.46776625373408,24.179534877753923,85.32810205978187,6.246155526665137,229.28420702974927,Rice
99.22901145074506,57.99264202940474,25.07159336544191,25.70038947901323,84.23226871506702,6.352374075406305,233.59045723921156,Rice
88.24639896424844,62.1605597959653,28.71639239861228,25.807694999235103,86.01946048140145,6.34366650749865,248.28200297790497,Rice
94.40521651184908,57.9385841609919,31.10421143801188,29.938862817805894,84.20137627025785,5.938113674445394,197.3416256498493,Rice
92.02528917279552,65.41683881596131,34.52080009523608,27.319974696049165,86.67255482982004,6.120545341682544,208.8720061348719,Rice
102.40930403672276,70.25357710977313,29.880579869633493,31.411609139535017,80.63375815985043,6.273967501458408,227.17617670595428,Rice
98.00661766356087,60.61173851023669,23.37477028466369,26.95082028040622,85.59518761918625,6.492631348247172,212.0432445431588,Rice
94.61004264737876,56.65495304276976,33.05134039234025,28.32187777414921,84.11706632705493,6.171089144371119,227.426938733701,Rice
106.45763327021926,55.31964604081765,28.907792844674105,26.51972961716961,82.5608084197798,6.098706759021526,231.5263818044972,Rice
100.03408971094974,58.436085777499024,25.282097526498617,26.448386693086604,84.42880913912205,5.7325742435927936,220.96785720834976,Rice
102.6936723787636,72.57457267473687,30.5819260427728,28.14387597680691,84.87592347372305,5.36040959490032,224.3371531137696,Rice
100.40153473294018,76.42161408323524,29.358796784062925,28.25386835583403,84.94214705049126,5.610440654126823,253.57057036287551,Rice
105.01288688457848,65.27354631362032,26.968708484017537,31.006985777340248,82.66358156201287,6.195619031266757,279.76139064524943,Rice
93.39642449912874,56.224681802648185,30.332171216958805,26.2413108647095,82.41556094822312,6.022854324935342,198.44240715684737,Rice
